,rank,mcs.pvalues
model5-drate-0.5-opt-rmsprop-garch-1-1-normal,1,1.0
model5-drate-0.4-opt-rmsprop-garch-1-1-normal,2,0.06666666666666667
model3-drate-0.4-opt-sgd-garch-1-1-normal,3,0.06666666666666667
model5-drate-0.4-opt-rmsprop-egarch-1-1-skewstudent,4,0.06666666666666667
model5-drate-0.5-opt-rmsprop-egarch-1-1-skewstudent,5,0.0
model3-drate-0.4-opt-sgd-egarch-1-1-skewstudent,6,0.0
model3-drate-0.5-opt-sgd-egarch-1-1-skewstudent,7,0.0
model3-drate-0.5-opt-sgd-garch-1-1-normal,8,0.0
model4-drate-0.5-opt-sgd-garch-1-1-normal,9,0.0
model4-drate-0.4-opt-sgd-garch-1-1-normal,10,0.0
model4-drate-0.4-opt-sgd-egarch-1-1-skewstudent,11,0.0
model1-drate-0.5-opt-sgd-egarch-1-1-skewstudent,12,0.0
model4-drate-0.5-opt-rmsprop-egarch-1-1-skewstudent,13,0.0
model3-drate-0.5-opt-rmsprop-garch-1-1-normal,14,0.0
model4-drate-0.4-opt-rmsprop-garch-1-1-normal,15,0.0
model3-drate-0.4-opt-rmsprop-garch-1-1-normal,16,0.0
model2-drate-0.4-opt-sgd-garch-1-1-normal,17,0.0
garch-1-1-normal,18,0.0
model2-drate-0.4-opt-sgd-egarch-1-1-skewstudent,19,0.0
model4-drate-0.4-opt-rmsprop-egarch-1-1-skewstudent,20,0.0
model4-drate-0.5-opt-rmsprop-garch-1-1-normal,21,0.0
model3-drate-0.4-opt-rmsprop-egarch-1-1-skewstudent,22,0.0
model2-drate-0.5-opt-sgd-egarch-1-1-skewstudent,23,0.0
model1-drate-0.4-opt-sgd-egarch-1-1-skewstudent,24,0.0
model3-drate-0.5-opt-rmsprop-egarch-1-1-skewstudent,25,0.0
model1-drate-0.4-opt-sgd-garch-1-1-normal,26,0.0
model2-drate-0.5-opt-rmsprop-garch-1-1-normal,27,0.0
egarch-1-1-skewstudent,28,0.0
model1-drate-0.4-opt-rmsprop-garch-1-1-normal,29,0.0
model1-drate-0.5-opt-sgd-garch-1-1-normal,30,0.0
model2-drate-0.5-opt-sgd-garch-1-1-normal,31,0.0
model1-drate-0.4-opt-rmsprop-egarch-1-1-skewstudent,32,0.0
model2-drate-0.4-opt-rmsprop-garch-1-1-normal,33,0.0
model4-drate-0.5-opt-sgd-egarch-1-1-skewstudent,34,0.0
model2-drate-0.4-opt-rmsprop-egarch-1-1-skewstudent,35,0.0
model1-drate-0.5-opt-rmsprop-garch-1-1-normal,36,0.0
model1-drate-0.5-opt-rmsprop-egarch-1-1-skewstudent,37,0.0
model2-drate-0.5-opt-rmsprop-egarch-1-1-skewstudent,38,0.0
